Name,IATA Code,ICAO Code,Prefix,Fleet Size,Destinations,Callsign,Logo URL,Wikipedia URL,AOC Number,Hubs,Destinations - actual names and airport/city code,Website,Key people,Employees,Headquarters,Alliance,Frequent-flyer programs,Revenue,Operating Income,Net Income,Total assets,Total equity,Founded
Corendon Dutch Airlines,CD,CND,PH,3,23,DUTCH CORENDON,https://images.planefinder.net/api/logo/CND/w/256,https://en.wikipedia.org/wiki/Corendon_Dutch_Airlines,NL-AOC-68,Amsterdam Airport Schiphol ; Maastricht Aachen Airport,,corendon.nl,Atilay Uslu (Founder) ; Gunay Uslu ( CEO ),,"Badhoevedorp , Netherlands",,,,,,,,2010 ( 2010 )
Corsair International,SS,CRL,F,9,15,CORSAIR,https://images.planefinder.net/api/logo/CRL/w/256,https://en.wikipedia.org/wiki/Corsair_International,,Orly Airport,Benin: Cotonou (COO) — Cadjehoun Airport; Moncton: Greater Moncton Roméo LeBlanc International Airport — Terminated; Montreal: Montréal–Trudeau International Airport — Terminated; Quebec City: Québec City Jean Lesage International Airport — Terminated; Santiago: Antonio Maceo Airport — Terminated; Varadero: Juan Gualberto Gómez Airport — Terminated; Puerto Plata: Gregorio Luperón International Airport — Terminated; Punta Cana: Punta Cana International Airport — Seasonal; France: Bordeaux (BOD) — Bordeaux–Mérignac Airport; Nantes: Nantes Atlantique Airport — Seasonal; Paris: Orly Airport — Hub; Guadeloupe: Pointe-à-Pitre (PTP) — Pointe-à-Pitre International Airport; Ivory Coast: Abidjan (ABJ) — Félix-Houphouët-Boigny International Airport; Madagascar: Antananarivo (TNR) — Ivato International Airport; Nosy Be: Fascene Airport — Terminated; Mali: Bamako (BKO) — Modibo Keita International Airport; Martinique: Fort-de-France (FDF) — Martinique Aimé Césaire International Airport; Mauritius: Port Louis (MRU) — Sir Seewoosagur Ramgoolam International Airport; Mayotte: Dzaoudzi (DZA) — Dzaoudzi–Pamandzi International Airport; Réunion: Saint-Denis (RUN) — Roland Garros Airport; Miami: Miami International Airport — Terminated; New York City: John F. Kennedy International Airport — Terminated; Oakland: Oakland International Airport — Terminated; San Francisco: San Francisco International Airport — Terminated,www .flycorsair .com,Pascal de Izaguirre (Chairman and CEO).,,"Rungis , France",,Club Corsair,"€470,582,300 (2018)",,,,,17 May 1981 ( 1981-05-17 ) as Corse Air International )
Costa Rica Green Airways,GW,GRA,TI,0,6,GREEN,https://images.planefinder.net/api/logo/GRA/w/256,https://en.wikipedia.org/wiki/Costa_Rica_Green_Airways,,Juan Santamaría International Airport,,costaricagreenair .com,,,"San José, Costa Rica",,,,,,,,October 2018 ( 2018-10 )
Coyne Airways,7C,COY,G,0,51,COYNE AIR,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,https://en.wikipedia.org/wiki/Coyne_Airways,,Cologne/Bonn ; Dubai–International ; London–Stansted ; Tbilisi,,www .coyneair .com,Larry Coyne ( MD ),,"London, England, United Kingdom",,,,,,,,1994 ( 1994 )
Croatia Airlines,OU,CTN,9A,16,37,CROATIA,https://images.planefinder.net/api/logo/CTN/w/256,https://en.wikipedia.org/wiki/Croatia_Airlines,,Zagreb; Dubrovnik ; Split ; Zadar,"Austria: Vienna (VIE) — Vienna International Airport; Belgium: Brussels (BRU) — Brussels Airport; Bosnia and Herzegovina: Mostar (OMO) — Mostar International Airport; Croatia: Brač (BWK) — Brač Airport; Dubrovnik: Dubrovnik Airport — Focus city; Split: Split Airport — Focus city; Zagreb: Zagreb Airport — Hub; Czech Republic: Prague (PRG) — Václav Havel Airport Prague; Denmark: Copenhagen (CPH) — Copenhagen Airport; France: Lyon (LYS) — Lyon–Saint-Exupéry Airport; Nantes: Nantes Atlantique Airport — Seasonal; Germany: Berlin (BER) — Berlin Brandenburg Airport; Düsseldorf: Düsseldorf Airport — Seasonal; Stuttgart: Stuttgart Airport — Seasonal; Greece: Athens (ATH) — Athens International Airport; Ireland: Dublin (DUB) — Dublin Airport; Israel: Tel Aviv (TLV) — Ben Gurion Airport; Italy: Milan (MXP) — Milan Malpensa Airport; Netherlands: Amsterdam (AMS) — Amsterdam Airport Schiphol; North Macedonia: Skopje (SKP) — Skopje International Airport; Norway: Oslo (OSL) — Oslo Airport, Gardermoen; Spain: Barcelona (BCN) — Josep Tarradellas Barcelona–El Prat Airport; Sweden: Stockholm (ARN) — Stockholm Arlanda Airport; Switzerland: Zürich (ZRH) — Zürich Airport; Turkey: Istanbul (IST) — Istanbul Airport; United Kingdom: London (LGW) — Gatwick Airport",www .croatiaairlines .com,Jasmin Bajić ( President and CEO ),911 (2023),"Zagreb , Croatia",Star Alliance,Miles & More,,,,,,7 August 1989 ( 1989-08-07 ) ; (as Zagal - Zagreb Airlines)
Cronos Airlines,C8,CRA,,4,4,CRONOS,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,https://en.wikipedia.org/wiki/Cronos_Airlines,,Malabo International Airport,,cronosair .com /en /,"Andreas Kaïafas, CEO",,"Malabo , Equatorial Guinea",,,,,,,,2007
Crown Airlines,FQ,CWN,5A,1,0,,https://images.planefinder.net/api/logo/CWN/w/256,https://en.wikipedia.org/wiki/Lea_County_Regional_Airport,,,,,,,,,,,,,,,
CSA Czech Airlines,OK,CSA,OK,0,0,CSA-LINES,https://images.planefinder.net/api/logo/CSA/w/256,https://en.wikipedia.org/wiki/Czech_Airlines,CZ-1,Václav Havel Airport Prague,,csa.cz,,587,"Prague , Czech Republic",SkyTeam (2000–2024),,CZK 9.5 bn (2014),CZK 285 m (2016),,CZK 2.2 bn (2014),CZK (0.3) bn (2014),6 October 1923 ( 1923-10-06 ); 29 October 1923 ( 1923-10-29 )
Cubana,CU,CUB,CU,37,4,CUBANA,https://images.planefinder.net/api/logo/CUB/w/256,https://en.wikipedia.org/wiki/Cubana_de_Aviaci%C3%B3n,,José Martí International Airport,Mendoza: Governor Francisco Gabrielli International Airport — Terminated; São Paulo: São Paulo/Guarulhos International Airport — Terminated; Canada: Montreal (YUL) — Montréal–Trudeau International Airport; Colombia: Bogotá (BOG) — El Dorado International Airport; Costa Rica: San José (SJO) — Juan Santamaría International Airport; Bayamo: Carlos Manuel de Céspedes Airport — Terminated; Camagüey: Ignacio Agramonte International Airport — Terminated; Ciego de Ávila: Máximo Gómez Airport — Terminated; Havana: José Martí International Airport — Hub; Holguín: Frank País Airport — Terminated; Las Tunas: Hermanos Ameijeiras Airport — Terminated; Manzanillo: Sierra Maestra Airport — Terminated; Moa: Orestes Acosta Airport — Terminated; Santiago de Cuba: Antonio Maceo Airport — Focus city; Varadero: Juan Gualberto Gómez Airport — Focus city; Quito: Mariscal Sucre International Airport — Terminated; France: Paris (ORY) — Orly Airport; Rome: Leonardo da Vinci–Fiumicino Airport — Terminated; Santiago de Compostela: Santiago de Compostela Airport — Terminated; Vitoria: Vitoria Airport — Terminated; Venezuela: Caracas (CCS) — Simón Bolívar International Airport,cubana.cu,Arturo Bada Álvarez ( CEO ),,"Havana , Cuba",,,,,,,,8 October 1929 ( 1929-10-08 ); 30 October 1930 ( 1930-10-30 )
Cyprus Airways,CY,CYP,5B,6,14,CYPRUS,https://images.planefinder.net/api/logo/CYP/w/256,https://en.wikipedia.org/wiki/Cyprus_Airways,CY-012,Larnaca International Airport,Cyprus: Larnaca (LCA) — Larnaca International Airport; Egypt: Sharm El Sheikh (SSH) — Sharm El Sheikh International Airport; France: Paris (CDG) — Charles de Gaulle Airport; Greece: Athens (ATH) — Athens International Airport; Preveza: Aktion National Airport — Seasonal; Rhodes: Rhodes International Airport — Seasonal; Santorini: Santorini International Airport — Seasonal; Skiathos: Skiathos International Airport — Seasonal; Israel: Tel Aviv (TLV) — Ben Gurion Airport; Italy: Milan (MXP) — Milan Malpensa Airport; Venice: Venice Marco Polo Airport — Seasonal; Lebanon: Beirut (BEY) — Beirut–Rafic Hariri International Airport; Romania: Craiova (CRA) — Craiova International Airport; Sibiu: Sibiu International Airport — Seasonal charter; Slovakia: Košice (KSC) — Košice International Airport; Piešťany: Piešťany Airport — Seasonal charter; Spain: Barcelona (BCN) — Josep Tarradellas Barcelona–El Prat Airport; United Arab Emirates: Dubai (DXB) — Dubai International Airport,cyprusairways.com,Thanos Pascalis (CEO),210,"Larnaca , Cyprus",,,,,,,,29 January 2016 ( 2016-01-29 ); 1 June 2017 ( 2017-06-01 )
Czech Air Force,-,CEF,OK,82,0,,https://images.planefinder.net/api/logo/CEF/w/256,https://en.wikipedia.org/wiki/Czech_Air_Force,,,,,,,Prague,,,,,,,,"1 January 1993 ; (33 years, 4 months)"
Daallo Airlines,D3,DAO,J2,3,9,DAALLO AIRLINES,https://images.planefinder.net/api/logo/DAO/w/256,https://en.wikipedia.org/wiki/Daallo_Airlines,,Mogadishu,Kenya: Nairobi (NBO) — Jomo Kenyatta International Airport; Saudi Arabia: Jeddah (JED) — King Abdulaziz International Airport; Somalia: Bosaso (BSA) — Bosaso Airport; Garowe: Garowe Airport — —; Mogadishu: Aden Adde International Airport — Base; Hargeisa: Hargeisa Egal Airport — —; United Arab Emirates: Dubai (DXB) — Dubai International Airport,www .daallo .com,,,"Al Garhoud , Dubai , United Arab Emirates",,,,,,,,1991; 20 March 1991 ( 1991-03-20 )
Dalian Airlines,CA,CCD,B,13,221,XIANGJIAN,https://images.planefinder.net/api/logo/CCD/w/256,https://en.wikipedia.org/wiki/Dalian_Airlines,,Dalian Zhoushuizi International Airport,Austria: Vienna (VIE) — Vienna International Airport; Bangladesh: Dhaka (DAC) — Hazrat Shahjalal International Airport; Belarus: Minsk (MSQ) — Minsk National Airport; Belgium: Brussels (BRU) — Brussels Airport; Brazil: São Paulo (GRU) — São Paulo/Guarulhos International Airport; Siem Reap: Siem Reap International Airport — Airport Closed; China ( Anhui ): Fuyang (FUG) — Fuyang Xiguan Airport; Hefei: Hefei Luogang Airport — Airport Closed; China ( Beijing ): Beijing (PEK) — Beijing Capital International Airport; China ( Chongqing ): Chongqing (CKG) — Chongqing Jiangbei International Airport; China ( Fujian ): Fuzhou (FOC) — Fuzhou Changle International Airport; China ( Gansu ): Dunhuang (DNH) — Dunhuang Mogao International Airport; China ( Guangdong ): Guangzhou (CAN) — Guangzhou Baiyun International Airport; Shenzhen: Shenzhen Bao'an International Airport — Focus city; Zhanjiang: Zhanjiang Airport — Airport Closed; China ( Guangxi ): Beihai (BHY) — Beihai Fucheng Airport; China ( Guizhou ): Guiyang (KWE) — Guiyang Longdongbao International Airport; China ( Hainan ): Haikou (HAK) — Haikou Meilan International Airport; China ( Heilongjiang ): Daqing (DQA) — Daqing Sartu Airport; China ( Henan ): Zhengzhou (CGO) — Zhengzhou Xinzheng International Airport; China ( Hubei ): Shiyan (WDS) — Shiyan Wudangshan Airport; Wuhan: Wuhan Tianhe International Airport — Focus city; China ( Hunan ): Changde (CGD) — Changde Taohuayuan Airport; China ( Inner Mongolia ): Baotou (BAV) — Baotou Erliban Airport; Hohhot: Hohhot Baita International Airport — Focus city; China ( Jiangsu ): Changzhou (CZX) — Changzhou Benniu International Airport; China ( Jiangxi ): Ganzhou (KOW) — Ganzhou Huangjin Airport; China ( Jilin ): Changchun (CGQ) — Changchun Longjia International Airport; China ( Liaoning ): Chaoyang (CHG) — Chaoyang Airport; Dalian: Dalian Zhoushuizi International Airport — Focus city; China ( Ningxia ): Yinchuan (INC) — Yinchuan Hedong International Airport; China ( Qinghai ): Xining (XNN) — Xining Caojiabao International Airport; China ( Shaanxi ): Xi'an (XIY) — Xi'an Xianyang International Airport; China ( Shandong ): Jinan (TNA) — Jinan Yaoqiang International Airport; China ( Shanghai ): Shanghai (SHA) — Shanghai Hongqiao International Airport; China ( Shanxi ): Changzhi (CIH) — Changzhi Wangcun Airport; China ( Sichuan ): Chengdu (CTU) — Chengdu Shuangliu International Airport; Luzhou: Luzhou Lantian Airport — Airport Closed; China ( Tianjin ): Tianjin (TSN) — Tianjin Binhai International Airport; China ( Tibet ): Lhasa (LXA) — Lhasa Gonggar International Airport; China ( Xinjiang ): Aksu (AKU) — Aksu Hongqipo Airport; China ( Yunnan ): Jinghong (JHG) — Xishuangbanna Gasa International Airport; Kunming: Kunming Changshui International Airport — Focus city; China ( Zhejiang ): Hangzhou (HGH) — Hangzhou Xiaoshan International Airport; Cuba: Havana (HAV) — José Martí International Airport; Denmark: Copenhagen (CPH) — Copenhagen Airport; Egypt: Cairo (CAI) — Cairo International Airport; Georgia: Tbilisi (TBS) — Tbilisi International Airport; Greece: Athens (ATH) — Athens International Airport; Hong Kong: Hong Kong (HKG) — Hong Kong International Airport; Hungary: Budapest (BUD) — Budapest Ferenc Liszt International Airport; New Delhi: Indira Gandhi International Airport — Resumes 21 April 2026; Indonesia: Jakarta (CGK) — Soekarno–Hatta International Airport; Italy: Milan (MXP) — Milan Malpensa Airport; Japan: Fukuoka (FUK) — Fukuoka Airport; Ibaraki: Ibaraki Airport — Terminated; Nagasaki: Nagasaki Airport — Terminated; Kazakhstan: Almaty (ALA) — Almaty International Airport; Kyrgyzstan: Bishkek (BSZ) — Manas International Airport; Macau: Macau (MFM) — Macau International Airport; Malaysia: Kuala Lumpur (KUL) — Kuala Lumpur International Airport; Nepal: Kathmandu (KTM) — Tribhuvan International Airport; New Zealand: Auckland (AKL) — Auckland Airport; North Korea: Pyongyang (FNJ) — Pyongyang International Airport; Philippines: Manila (MNL) — Ninoy Aquino International Airport; Poland: Warsaw (WAW) — Warsaw Chopin Airport; Russia: Chita (HTA) — Kadala Airport; Omsk: Omsk Tsentralny Airport — Terminated; Saint Petersburg: Pulkovo Airport — Terminated; Saudi Arabia: Jeddah (JED) — King Abdulaziz International Airport; Medina: Prince Mohammad bin Abdulaziz International Airport — Seasonal; Singapore: Singapore (SIN) — Changi Airport; South Africa: Johannesburg (JNB) — O. R. Tambo International Airport; South Korea: Busan (PUS) — Gimhae International Airport; Daegu: Daegu International Airport — Terminated; Spain: Barcelona (BCN) — Josep Tarradellas Barcelona–El Prat Airport; Sri Lanka: Colombo (CMB) — Bandaranaike International Airport; Sweden: Stockholm (ARN) — Stockholm Arlanda Airport; Switzerland: Geneva (GVA) — Geneva Airport; Zurich: Zurich Airport — Terminated; Surat Thani: Surat Thani International Airport — Terminated; United Arab Emirates: Dubai (DXB) — Dubai International Airport; United Kingdom: London (LGW) — Gatwick Airport; Houston: George Bush Intercontinental Airport — Terminated; Newark: Newark Liberty International Airport — Terminated; San Jose: San Jose International Airport — Terminated; Uzbekistan: Tashkent (TAS) — Tashkent International Airport; Vietnam: Hanoi (HAN) — Noi Bai International Airport,www .dalianair-china .com,Zhao Xiaohang ( chairman ),,"Dalian , Liaoning , China",,Phoenix Miles,,,,,,31 December 2011 ( 2011-12-31 )
Dan Air,DN,DNA,YR,0,23,DAN AIR,https://images.planefinder.net/api/logo/DNA/w/256,https://en.wikipedia.org/wiki/Dan_Air_%28Romania%29,RO-064,Bacău ; Bucharest–Otopeni,"Albania: Tirana (TIA) — Tirana International Airport Nënë Tereza; Algeria: Algiers (ALG) — Houari Boumediene Airport; Argentina: Buenos Aires (EZE) — Ministro Pistarini International Airport; Austria: Innsbruck (INN) — Innsbruck Airport; Belgium: Brussels (BRU) — Brussels Airport; Brazil: Fortaleza (FOR) — Pinto Martins – Fortaleza International Airport; Toronto: Toronto Pearson International Airport — Resumes 13 June 2026; Chile: Santiago (SCL) — Arturo Merino Benítez International Airport; Colombia: Bogotá (BOG) — El Dorado International Airport; Cali: Alfonso Bonilla Aragón International Airport — Terminated; Costa Rica: San José (SJO) — Juan Santamaría International Airport; Croatia: Dubrovnik (DBV) — Dubrovnik Airport; Split: Split Airport — Seasonal; Cuba: Havana (HAV) — José Martí International Airport; Czech Republic: Prague (PRG) — Václav Havel Airport Prague; Dominican Republic: Santo Domingo (SDQ) — Las Américas International Airport; Ecuador: Guayaquil (GYE) — José Joaquín de Olmedo International Airport; Egypt: Cairo (CAI) — Cairo International Airport; El Salvador: San Salvador (SAL) — El Salvador International Airport; Finland: Rovaniemi (RVN) — Rovaniemi Airport; France: Marseille (MRS) — Marseille Provence Airport; Germany: Düsseldorf (DUS) — Düsseldorf Airport; Greece: Athens (ATH) — Athens International Airport; Guatemala: Guatemala City (GUA) — La Aurora International Airport; Hungary: Budapest (BUD) — Budapest Ferenc Liszt International Airport; India: Mumbai (BOM) — Chhatrapati Shivaji Maharaj International Airport; Israel: Tel Aviv (TLV) — Ben Gurion Airport; Italy: Bologna (BLQ) — Bologna Guglielmo Marconi Airport; Cagliari: Cagliari Elmas Airport — Seasonal; Catania: Catania–Fontanarossa Airport — Seasonal; Genoa: Genoa Cristoforo Colombo Airport — Seasonal; Olbia: Olbia Costa Smeralda Airport — Seasonal; Palermo: Falcone Borsellino Airport — Seasonal; Japan: Tokyo (NRT) — Narita International Airport; Benghazi: Benina International Airport — Terminated; Mexico: Mexico City (MEX) — Mexico City International Airport; Morocco: Casablanca (CMN) — Mohammed V International Airport; Rabat: Rabat–Salé Airport — Terminated; Nicaragua: Managua (MGA) — Augusto C. Sandino International Airport; Norway: Bergen (BGO) — Bergen Airport, Flesland; Tromsø: Tromsø Airport — Seasonal; Panama: Panama City (PTY) — Tocumen International Airport; Paraguay: Asunción (ASU) — Silvio Pettirossi International Airport; Peru: Lima (LIM) — Jorge Chávez International Airport; Portugal: Funchal (FNC) — Cristiano Ronaldo International Airport; Qatar: Doha (DOH) — Hamad International Airport; Romania: Bucharest (OTP) — Bucharest Henri Coandă International Airport; Saint Petersburg: Pulkovo Airport — Terminated; Slovenia: Ljubljana (LJU) — Ljubljana Jože Pučnik Airport; Senegal: Dakar (DSS) — Blaise Diagne International Airport; Spain: A Coruña (LCG) — A Coruña Airport; Barcelona: Josep Tarradellas Barcelona–El Prat Airport — Focus city; Madrid: Madrid–Barajas Airport — Hub; Murcia: Murcia–San Javier Airport — Airport Closed; Palma de Mallorca: Palma de Mallorca Airport — Terminated; Santiago de Compostela: Santiago–Rosalía de Castro Airport — Terminated; Sweden: Stockholm (ARN) — Stockholm Arlanda Airport; Switzerland: Geneva (GVA) — Geneva Airport; Turkey: Istanbul (IST) — Istanbul Airport; Thailand: Bangkok (BKK) — Suvarnabhumi Airport; United Kingdom: London (LHR) — Heathrow Airport; San Francisco: San Francisco International Airport — Seasonal; Washington, D.C.: Dulles International Airport — Seasonal; Uruguay: Montevideo (MVD) — Carrasco International Airport; Venezuela: Caracas (CCS) — Simon Bolivar International Airport",danair.ro,Matt Ian David ( CEO ),,"Bucharest , Romania",,,€20.25 million (2023),,€0.43 million (2023),,,2017; 2018
Dana Air,9J,DAN,5N,0,0,DANACO,https://images.planefinder.net/api/logo/DAN/w/256,https://en.wikipedia.org/wiki/Dana_Air,,"Murtala Muhammed International Airport; Lagos, Abuja, Port Harcourt, Owerri, Enugu",,flydanaair.com at the Wayback Machine (archived 20 September 2024),Hathiramani Ranesh (MD),500,"Dana House, 116 Oshodi-Isolo Expressway, 5star bus stop, Lagos , Nigeria",,,,,,,,"2008; November 10, 2008 ( 2008-11-10 )"
Danish Air Transport,DX,DTR,OY,25,28,DANISH,https://images.planefinder.net/api/logo/DTR/w/256,https://en.wikipedia.org/wiki/DAT_%28airline%29,DK.AOC.043,Copenhagen Airport; Bornholm Airport,"Bornholm: Bornholm Airport — Base; Lübeck: Lübeck Airport — (operated for Skyhub PAD); Munich: Munich Airport — Base (operated for Skyhub PAD); Paderborn: Paderborn Lippstadt Airport — (operated for Skyhub PAD); Saarbrücken: Saarbrücken Airport — Base; Pécs: Pécs-Pogány International Airport — (operated for Skyhub PAD); Ancona: Marche Airport — Base; Palermo: Palermo Airport — Base; Oslo: Oslo Airport, Gardermoen — Base",dat.dk,"Jesper Rungholm, President",,"Vamdrup , Denmark",,,,,,,,1989 ( 1989 )
Delta Air Lines,DL,DAL,N,1001,351,DELTA,https://images.planefinder.net/api/logo/DAL/w/256,https://en.wikipedia.org/wiki/Delta_Air_Lines,DALA026A,Atlanta ; Boston ; Detroit ; Los Angeles ; Minneapolis/St. Paul ; New York–JFK ; New York–LaGuardia ; Salt Lake City ; Seattle/Tacoma; Austin ; Raleigh/Durham,,www .delta .com,Ed Bastian ( CEO ) ; David Taylor ( chairman ) ; Glen Hauenstein ( president ),"103,000 (2025)","Atlanta , Georgia, United States",SkyTeam ; SkyTeam Cargo,SkyMiles,US$ 63.4 billion (2025),US$5.8 billion (2025),US$5.0 billion (2025),US$81.2 billion (2025),US$20.8 billion (2025),"March 2, 1925 ( 1925-03-02 ) (as Huff Daland Dusters, Inc. ); March 23, 1925 ( 1925-03-23 ) (as Huff Daland Dusters, Inc. ) ; June 17, 1929 ( 1929-06-17 ) (as Delta Air Service )"
Denim Air,G6,DNM,PH,0,0,DENIM,https://images.planefinder.net/api/logo/DNM/w/256,https://en.wikipedia.org/wiki/Denim_Air,,Amsterdam Airport Schiphol ; Maastricht Aachen Airport,,denim.aero,"Gert Brask, CEO",,"Mijdrecht , Netherlands",,,,,,,,Feb 96
DHL Aero Expreso,D5,DAE,HP,0,0,YELLOW,https://images.planefinder.net/api/logo/DAE/w/256,https://en.wikipedia.org/wiki/DHL_Aero_Expreso,,Tocumen International Airport; Miami International Airport,Argentina: Buenos Aires (EZE) — Ministro Pistarini International Airport; Aruba: Oranjestad (AUA) — Queen Beatrix International Airport; Barbados: Bridgetown (BGI) — Grantley Adams International Airport; Chile: Santiago (SCL) — Arturo Merino Benítez International Airport; Colombia: Bogotá (BOG) — El Dorado International Airport; Costa Rica: San José (SJO) — Juan Santamaría International Airport; Curaçao: Willemstad (CUR) — Curaçao International Airport; Ecuador: Guayaquil (GYE) — José Joaquín de Olmedo International Airport; El Salvador: San Salvador (SAL) — El Salvador International Airport; Guatemala: Guatemala City (GUA) — La Aurora International Airport; Mexico: Mexico City (MEX) — Mexico City International Airport; Panama: Panama City (PTY) — Tocumen International Airport; Peru: Lima (LIM) — Jorge Chávez International Airport; Puerto Rico: San Juan (SJU) — Luis Muñoz Marín International Airport; Trinidad and Tobago: Port of Spain (POS) — Piarco International Airport; United States: Miami (MIA) — Miami International Airport; Venezuela: Caracas (CCS) — Simón Bolívar International Airport,www .dhl .com,Pablo Rousselin (Managing Director) ; Patricia Roman (Technical Operations Director) ; Jairo Guardia (Flight Operations Director),482 (2023),"Tocumen International Airport , Panama City , Panama",,,,,,,,"February 1996; August 15, 1996"
DHL Air Austria,Q7,DHA,OE,0,0,,https://images.planefinder.net/api/logo/DHA/w/256,https://en.wikipedia.org/wiki/DHL_Aviation,,Bahrain ; Brussels ; Cincinnati ; East Midlands ; Hong Kong ; Istanbul ; Leipzig/Halle ; London–Luton ; Milan–Malpensa ; Shanghai–Pudong,,aviationcargo .dhl .com,,,"Bonn , North Rhine-Westphalia , Germany",,,,,,,,1969 ( 1969 )
DHL Air UK,D0,DHK,G,108,0,WORLD EXPRESS,https://images.planefinder.net/api/logo/DHK/w/256,https://en.wikipedia.org/wiki/DHL_Air_UK,,Brussels Airport ; East Midlands Airport ; Leipzig/Halle Airport,,www.dhl.com,,270 (2007),"Hounslow , United Kingdom",,,,,,,,11 October 1982 (as Elan Air ); 8 November 1983
"DHL de Guatemala, S.A.",L3,JOS,TG,0,0,,https://images.planefinder.net/api/logo/JOS/w/256,https://en.wikipedia.org/wiki/DHL_de_Guatemala,,La Aurora International Airport,Costa Rica: San José (SJO) — Juan Santamaría International Airport; El Salvador: San Salvador (SAL) — El Salvador International Airport; Guatemala: Guatemala City (GUA) — La Aurora International Airport; Honduras: San Pedro Sula (SAP) — Ramón Villeda Morales International Airport; Mexico: Mexico City (MEX) — Mexico City International Airport; Panama: Panama City (PTY) — Tocumen International Airport,www .dhl .com,,,"Guatemala City , Guatemala",,,,,,,,1989
DHL International E.C.,ES,DHX,A40,0,11,DILMUN,https://images.planefinder.net/api/logo/DHX/w/256,https://en.wikipedia.org/wiki/DHL_International_Aviation_ME,BH-03,"Bahrain International Airport; Dubai International Airport; Beirut , Cairo , Amman , Baghdad , Jeddah , Riyadh , Asmara , Djibouti , Nairobi , Muscat , Abu Dhabi , DWC , Karachi , Lahore , Bangalore , Hong Kong",Bahrain: Muharraq (BAH) — Bahrain International Airport; Belgium: Brussels (BRU) — Brussels Airport; Djibouti: Djibouti City (JIB) — Djibouti–Ambouli International Airport; Egypt: Cairo (CAI) — Cairo International Airport; Eritrea: Asmara (ASM) — Asmara International Airport; Hong Kong: Hong Kong (HKG) — Hong Kong International Airport; India: Bangalore (BLR) — Kempegowda International Airport; Iraq: Baghdad (BGW) — Baghdad International Airport; Jordan: Amman (AMM) — Queen Alia International Airport; Kenya: Nairobi (NBO) — Jomo Kenyatta International Airport; Kuwait: Kuwait City (KWI) — Kuwait International Airport; Lebanon: Beirut (BEY) — Beirut–Rafic Hariri International Airport; Oman: Muscat (MCT) — Muscat International Airport; Pakistan: Karachi (KHI) — Jinnah International Airport; Lahore: Allama Iqbal International Airport — Focus city; Saudi Arabia: Jeddah (JED) — King Abdulaziz International Airport; Riyadh: King Khalid International Airport — Focus city; United Arab Emirates: Abu Dhabi (AUH) — Abu Dhabi International Airport; Dubai: Dubai International Airport — Hub,www .dhl .com,Gavin Staines ; Reynel Rivera ; Steve O'Shea ; Yaver Rashid ; Vanessa Thornton,265,"Muharraq , Bahrain",,,,,,,,1979 ( 1979 )
