Model_ID,Name,Origin,Role,IATA_Type_Ref
pzlmielecm18dromader,PZL-Mielec M-18 Dromader,Poland,Ag spraying and firefighter aircraft,
pzlokeciepzl110111koliber,PZL-Okecie PZL-110/111 Koliber,Poland,Four seat light aircraft,
pzlswidnikmilmi2kania,PZL Swidnik (Mil) Mi2 & Kania,Poland & Russia,Light twin turboshaft utility helicopter,
pzlswidniksw4,PZL Swidnik SW4,Poland,Light utility helicopter,
pzlswidnikw3sokol,PZL Swidnik W3 Sokol,Poland,Mid size twin engine utility helicopter,
pzlwarszawaokeciepzl104wilga,PZL WarszawaOkecie PZL104 Wilga,Poland,Four seat light utility aircraft,
raytheon390premieri,Raytheon 390 Premier I,United States of America,Light corporate jet,
raytheon90100kingair,Raytheon 90/100 King Air,United States of America,Twin turboprop corporate and utility transport,
raytheonbeechcraft1900,Raytheon Beechcraft 1900,United States of America,Regional airliner and corporate transport,
raytheonbeechcraftbaron,Raytheon Beechcraft Baron,United States of America,"Four or six place business, utility & advanced pilot training twin",
raytheonbeechcraftbonanza,Raytheon Beechcraft Bonanza,United States of America,Four to six seat high performance light aircraft,
raytheonbeechcraftkingair200,Raytheon Beechcraft King Air 200,United States of America,"Twin turboprop corporate, passenger & utility transport",
raytheonbeechcraftkingair300350,Raytheon Beechcraft King Air 300 & 350,United States of America,Turboprop powered corporate and utility aircraft,
raytheonbeechjet400,Raytheon Beechjet 400,United States of America,Light corporate jet,
raytheonhawker1000,Raytheon Hawker 1000,United Kingdom and USA,Mid size corporate jet,
raytheonhawker800britishaerospacehs125700,Raytheon Hawker 800 & British Aerospace HS-125-700,United Kingdom and USA,Mid size corporate jet,
raytheonhawkerhorizon,Raytheon Hawker Horizon,United States of America,Super mid size corporate jet,
republicrc3seabee,Republic RC3 Seabee,United States of America,Four seat amphibious light aircraft,
robindr400500,Robin DR-400/500,France,Four/five seat light aircraft,
robinhr200r2000alpha,Robin HR 200 & R 2000 Alpha,France,Two seat aerobatic light aircraft,
robinr3000,Robin R 3000,France,Two/four seat light aircraft,
robinsonr44,Robinson R-44,United States of America,Four place piston engined light helicopter,
robinsonr22,Robinson R22,United States of America,Two seat piston engined light helicopter,
rockwell500520560680685720commander,Rockwell 500/520/560/680/685/720 Commander,United States of America,Utility and corporate transports,
rockwellcommander112114,Rockwell Commander 112 & 114,United States of America,Four seat high performance light aircraft,
rockwellsabreliner,Rockwell Sabreliner,United States of America,Mid size corporate jet,
ruschmeyerr90,Ruschmeyer R 90,Germany,Four seat high performance light aircraft,
saab2000,Saab 2000,Sweden,50 seat twin turboprop regional airliner,
saab340,Saab 340,Sweden,Twin turboprop regional airliner,
schweizer269300,Schweizer 269/300,United States of America,Light utility helicopter,
schweizer330,Schweizer 330,United States of America,Light turbine powered utility helicopter,
scottishaviationtwinpioneer,Scottish Aviation Twin Pioneer,United Kingdom,Utility transport,
short330,Short 330,United Kingdom,Regional airliner and utility freighter,
short360,Short 360,United Kingdom,36 seat regional airliner,
shortbelfast,Short Belfast,United Kingdom,Heavy lift turboprop freighter,
shortskyvanskyliner,Short Skyvan & Skyliner,United Kingdom,STOL utility transport and regional airliner,
siaimarchettis205208,SIAI-Marchetti S-205/208,Italy,Four seat light aircraft,
sikorskys55westlandwhirlwind,Sikorsky S-55 & Westland Whirlwind,United States of America,Mid size utility helicopter,
sikorskys76,Sikorsky S-76,United States of America,Mid size utility helicopter,
sikorskys92helibus,Sikorsky S-92 Helibus,United States of America,Medium to heavy lift airliner and utility helicopter,
sikorskys58,Sikorsky S58,United States of America,Mid size utility helicopter,
sikorskys61ls61n,Sikorsky S61L & S61N,United States of America,Medium lift utility helicopter,
sikorskys62,Sikorsky S62,United States of America,Mid size utility helicopter,
sinoswearingensj302,Sino Swearingen SJ-30-2,United States of America,Light corporate jet,
slingsbyt67firefly,Slingsby T-67 Firefly,United Kingdom,Two seat basic trainer,
socatagy80horizonst10diplomate,Socata GY-80 Horizon & ST-10 Diplomate,France,Four seat light aircraft,
socatams180ms250morane,Socata MS 180 & MS 250 Morane,France,Four/five seat light aircraft,
socatarallye,Socata Rallye,France,Series of two/four seat light aircraft,
socatatangaragulfstreamga7,Socata Tangara & Gulfstream GA7,United States of America and France,Four place light twin,
socatatb9102021200tampicotobagotrinidad,Socata TB-9/10/20/21/200 Tampico/Tobago/Trinidad,France,Four/five seat light aircraft,
socatatbm700,Socata TBM-700,France,Single engine corporate turboprop,
sudse210caravelle,Sud SE-210 Caravelle,France,Short range airliner,
sukhoisu26su29su31,"Sukhoi Su26, Su29 & Su31",Russia,Single and two seat aerobatic light aircraft,
sukhoisuperjet100,Sukhoi Superjet 100,Russia,Regional jet airliner,
taylorcraftseries,Taylorcraft series,United States of America,Two seat light aircraft,
technoaviasm92finist,Technoavia SM92 Finist,Russia,STOL utility transport,
transaviaairtrukskyfarmer,Transavia Airtruk & Skyfarmer,Australia,Agricultural aircraft,
tupolevtu134,Tupolev Tu-134,Russia,Short range airliner,
tupolevtu154,Tupolev Tu-154,Russia,Medium range airliner,
tupolevtu204tu214,Tupolev Tu-204 & Tu-214,Russia,Medium range airliner,
tupolevtu334,Tupolev Tu-334,Russia,Short to medium range airliner,
vickersvc10,Vickers VC10,United Kingdom,Medium to long range airliner,
vickersviscount,Vickers Viscount,United Kingdom,Turboprop airliner and freighter,
victaaircruiser,Victa Aircruiser,Australia,Four seat light aircraft,
victaairtourer,Victa Airtourer,Australia,Two seat light aircraft,
visionairevantage,VisionAire Vantage,United States of America,Entry level single engine corporate jet,
weatherly201620,Weatherly 201/620,United States of America,Agricultural aircraft,
yakovlevyak18t,Yakovlev Yak-18T,Russia,Four seat light aircraft,
yakovlevyak40,Yakovlev Yak-40,Russia,Regional jet airliner,
yakovlevyak42,Yakovlev Yak-42,Russia,Short range airliner,
zlintrenerakrobat,Zlin Trener & Akrobat,Czech Republic,One and two seat aerobatic and training light aircraft,
zlinz42z43z142z242z143,"Zlin Z 42, Z 43, Z 142, Z 242 & Z 143",Czech Republic,Two/four seat light aircraft,
